Ving Rhames
Vinnie Jones
Warwick Davis
Wesley Snipes
Whoopi Goldberg
Will Ferrell
Will Patton
Will Smith
Willem Dafoe
William H Macy
Winona Ryder
Woody Allen
Woody Harrelson
Zac Efron
Zoe Saldana
